PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
AMUNDSEN (ROALD),129,SPRAY FEATURE,OUTDOOR,1135007.50933,1911481.94117,"(41.913297, -87.779448)"
AMUNDSEN (ROALD),129,BASEBALL SR,OUTDOOR,1135158.3082399999,1911504.40044,"(41.913356, -87.778894)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178421.6990799999,1880016.74196,"(41.826074, -87.620914)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178423.7059599999,1879940.0866,"(41.825864, -87.620909)"
ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR,1178429.87524,1880090.42292,"(41.826276, -87.620882)"
ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR,1178496.7491200001,1879958.5481799999,"(41.825913, -87.62064)"
ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR,1178494.7422400001,1879904.7690900001,"(41.825765, -87.620649)"
ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR,1164812.5579899999,1934962.8673099999,"(41.977149, -87.669282)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147334.57195,1871246.4557,"(41.802658, -87.73519)"
ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR,1147443.93557,1871687.2750299999,"(41.803866, -87.734778)"
ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1147413.8755900001,1872098.31981,"(41.804994, -87.734878)"
ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR,1147357.01055,1871551.41178,"(41.803494, -87.7351)"
ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR,1147336.94038,1871579.8441399999,"(41.803573, -87.735173)"
ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR,1147674.6007999999,1871207.75761,"(41.802545, -87.733944)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147585.2669800001,1872001.9056299999,"(41.804726, -87.734252)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147581.9018300001,1872138.1894799999,"(41.8051, -87.734261)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147280.7315,1872309.80626,"(41.805577, -87.735361)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147524.69624,1871406.2946200001,"(41.803093, -87.734489)"
ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR,1147593.6797,1871594.7365000001,"(41.803609, -87.734231)"
ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR,1147567.3129499999,1871683.01782,"(41.803851, -87.734326)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147312.6992899999,1871848.7966799999,"(41.804311, -87.735255)"
ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR,1147660.98009,1871419.75489,"(41.803127, -87.733989)"
ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR,1147664.3452399999,1871300.29614,"(41.802799, -87.73398)"
ARCHER (WILLIAM BEATTY),250,WATER PLAYGROUND,OUTDOOR,1147359.8097600001,1871680.5447199999,"(41.803849, -87.735087)"
ARMOUR (PHILIP) SQUARE,3,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1174927.14701,1882718.6109,"(41.833567, -87.633654)"
ARMOUR (PHILIP) SQUARE,3,FITNESS CENTER,INDOOR,1174563.14216,1882923.6967800001,"(41.834138, -87.634983)"
ARMOUR (PHILIP) SQUARE,3,GYMNASIUM,INDOOR,1174657.2505699999,1882898.8378999999,"(41.834068, -87.634639)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175016.6271500001,1882799.93456,"(41.833788, -87.633323)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175024.76755,1882572.9048299999,"(41.833165, -87.6333)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1174806.78275,1882795.4119299999,"(41.833781, -87.634093)"
ARMOUR (PHILIP) SQUARE,3,POOL (OUTDOOR),OUTDOOR,1174611.41077,1882959.1265,"(41.834234, -87.634805)"
ARMOUR (PHILIP) SQUARE,3,PLAYGROUND,OUTDOOR,1174832.10882,1882986.2616099999,"(41.834304, -87.633994)"
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL (SAND),OUTDOOR,1174659.34932,1882781.8443700001,"(41.833747, -87.634634)"
ARMOUR (PHILIP) SQUARE,3,SPRAY FEATURE,OUTDOOR,1174960.54786,1882972.6940599999,"(41.834264, -87.633524)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL SR,OUTDOOR,1174834.8223900001,1882581.94976,"(41.833194, -87.633997)"
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174669.29877,1882517.73007,"(41.833022, -87.634606)"
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174623.16927,1882515.01682,"(41.833015, -87.634775)"
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL,OUTDOOR,1174577.9443000001,1882515.92135,"(41.833019, -87.634941)"
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181507.2700100001,1875801.1752599999,"(41.814436, -87.609724)"
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181508.2201400001,1875735.61864,"(41.814256, -87.609722)"
ARMSTRONG (LILLIAN HARDIN),492,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1181262.9050100001,1875648.72052,"(41.814023, -87.610625)"
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181153.8356699999,1875468.64279,"(41.813531, -87.611031)"
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181131.9836800001,1875821.12699,"(41.814499, -87.6111)"
ARMSTRONG (LILLIAN HARDIN),492,PLAYGROUND,OUTDOOR,1181512.9707800001,1875560.8017299999,"(41.813776, -87.60971)"
ARRIGO (VICTOR),215,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1167845.38919,1896587.2232600001,"(41.871779, -87.659239)"
ASHE (ARTHUR) BEACH,459,BEACH,OUTDOOR,1195954.26342,1857049.8679500001,"(41.762635, -87.557352)"
ASHE (ARTHUR) BEACH,459,PLAYGROUND,OUTDOOR,1195828.88014,1857026.6488399999,"(41.762574, -87.557813)"
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195701.17469,1856885.01198,"(41.762189, -87.558286)"
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195742.9692299999,1856916.74486,"(41.762275, -87.558131)"
ASHMORE,427,PLAYGROUND PARK,OUTDOOR,1143378.6129999999,1931714.44303,"(41.968664, -87.748187)"
ASPEN,321,PLAYGROUND PARK,OUTDOOR,1177557.1807899999,1876749.14646,"(41.817127, -87.624184)"
ASTER,343,PLAYGROUND PARK,OUTDOOR,1168495.1287100001,1931153.5652099999,"(41.966617, -87.655851)"
ATHLETIC FIELD,80,BASKETBALL COURT,OUTDOOR,1151806.3553299999,1923875.8619200001,"(41.946992, -87.717405)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151816.4498000001,1924048.30843,"(41.947465, -87.717363)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151991.4195900001,1924293.0979599999,"(41.948134, -87.716714)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151998.1492300001,1924049.9905099999,"(41.947466, -87.716696)"
ATHLETIC FIELD,80,PLAYGROUND,OUTDOOR,1151999.8316500001,1923861.56143,"(41.946949, -87.716694)"
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151988.05477,1923938.11081,"(41.947159, -87.716736)"
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151986.3723599999,1923986.0592100001,"(41.947291, -87.716741)"
AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR,1146428.2194300001,1906187.8740000001,"(41.898559, -87.737625)"
AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR,1136977.5372200001,1902168.3170799999,"(41.887704, -87.772434)"
AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR,1136587.0865499999,1902149.87913,"(41.88766, -87.773869)"
AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR,1136447.17509,1902168.3170799999,"(41.887713, -87.774382)"
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1135100.31623,1934452.8657,"(41.97633, -87.778561)"
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1134908.14142,1934738.0527999999,"(41.977116, -87.779261)"
AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR,1134990.39224,1934282.9831699999,"(41.975865, -87.778969)"
AUSTIN TOWN HALL,207,BASKETBALL COURT,OUTDOOR,1138687.26346,1902559.3369700001,"(41.888746, -87.766146)"
AUSTIN TOWN HALL,207,FITNESS CENTER,INDOOR,1138768.4988599999,1902448.3470300001,"(41.88844, -87.76585)"
AUSTIN TOWN HALL,207,GYMNASIUM,INDOOR,1138767.1875100001,1902664.7199599999,"(41.889034, -87.76585)"
AUSTIN TOWN HALL,207,POOL (INDOOR),INDOOR,1138769.1543699999,1902639.80433,"(41.888965, -87.765843)"
AUSTIN TOWN HALL,207,PLAYGROUND,OUTDOOR,1138861.39861,1902450.50254,"(41.888444, -87.765509)"
AVALON,29,BASKETBALL COURT,OUTDOOR,1186206.92891,1849985.73116,"(41.743486, -87.5933)"
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1185408.3757199999,1849288.54391,"(41.741592, -87.596248)"
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1186006.93095,1849244.8399199999,"(41.741458, -87.594056)"
AVALON,29,FITNESS CENTER,INDOOR,1185968.9274200001,1850060.01513,"(41.743695, -87.59417)"
AVALON,29,GYMNASIUM,INDOOR,1185957.5265299999,1850012.5106299999,"(41.743565, -87.594213)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185664.8814399999,1849317.8512599999,"(41.741666, -87.595307)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185899.1234299999,1849414.64536,"(41.741926, -87.594446)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186129.49337,1849424.3248000001,"(41.741947, -87.593602)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186137.2371199999,1849085.5453000001,"(41.741017, -87.593584)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185906.8668500001,1849083.60928,"(41.741017, -87.594428)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185637.7791299999,1849104.9041800001,"(41.741082, -87.595413)"
AVALON,29,POOL (OUTDOOR),OUTDOOR,1185968.81522,1849736.0020000001,"(41.742806, -87.59418)"
AVALON,29,PLAYGROUND,OUTDOOR,1185782.9704400001,1849807.6298100001,"(41.743007, -87.594859)"
AVALON,29,SPRAY FEATURE,OUTDOOR,1185949.45633,1849842.47554,"(41.743099, -87.594248)"
AVALON,29,BASEBALL SR,OUTDOOR,1185337.71707,1849042.95581,"(41.740919, -87.596515)"
AVALON,29,TENNIS COURT,OUTDOOR,1185134.44943,1849383.6713399999,"(41.741859, -87.597249)"
AVALON,29,TENNIS COURT,OUTDOOR,1185136.3854499999,1849279.1334899999,"(41.741572, -87.597245)"
AVALON,29,TENNIS COURT,OUTDOOR,1185087.9882400001,1849277.1978,"(41.741568, -87.597422)"
AVALON,29,TENNIS COURT,OUTDOOR,1185091.85995,1849153.30107,"(41.741228, -87.597412)"
AVALON,29,TENNIS COURT,OUTDOOR,1185144.1288699999,1849155.23709,"(41.741232, -87.59722)"
AVALON,29,TENNIS COURT,OUTDOOR,1185144.1288699999,1849037.14808,"(41.740908, -87.597224)"
AVALON,29,TRACK,OUTDOOR,1186156.59601,1849871.5138699999,"(41.743174, -87.593488)"
AVONDALE,81,BASKETBALL COURT,OUTDOOR,1152341.6600299999,1921840.5693999999,"(41.941397, -87.715491)"
AVONDALE,81,GYMNASTIC CENTER,INDOOR,1152384.01198,1921803.1239400001,"(41.941293, -87.715337)"
AVONDALE,81,GYMNASIUM,INDOOR,1152411.07229,1921801.8555699999,"(41.941289, -87.715237)"
AVONDALE,81,POOL (OUTDOOR),OUTDOOR,1152363.7941699999,1921956.15808,"(41.941713, -87.715407)"
AVONDALE,81,PLAYGROUND,OUTDOOR,1152351.08751,1921887.7067799999,"(41.941526, -87.715456)"
AVONDALE,81,SPRAY FEATURE,OUTDOOR,1152468.72572,1921844.66815,"(41.941405, -87.715024)"
BACK OF THE YARDS,1063,BASKETBALL COURT,OUTDOOR,1168403.1780999999,1871982.8613799999,"(41.80425, -87.657901)"
BACK OF THE YARDS,1063,HORSESHOE COURT,OUTDOOR,1168419.93759,1872097.7125299999,"(41.804565, -87.657836)"
BACK OF THE YARDS,1063,PLAYGROUND,OUTDOOR,1168277.4824900001,1872039.05483,"(41.804407, -87.65836)"
BACK OF THE YARDS,1063,SPRAY FEATURE,OUTDOOR,1168381.9822800001,1872069.1230200001,"(41.804488, -87.657976)"
BARAGA (FREDERICK),295,BASKETBALL COURT,OUTDOOR,1162031.3023999999,1887562.1638799999,"(41.847137, -87.680836)"
BARAGA (FREDERICK),295,PLAYGROUND PARK,OUTDOOR,1161944.6756,1887565.0041,"(41.847146, -87.681154)"
BARNARD (ERASTUS),1205,PLAYGROUND,OUTDOOR,1165427.7214599999,1835227.8571299999,"(41.703453, -87.669853)"
BARRETT (JOHN),1022,BASKETBALL COURT,OUTDOOR,1163156.8755999999,1889535.5398500001,"(41.852528, -87.67665)"
BARRETT (JOHN),1022,PLAYGROUND,OUTDOOR,1163196.2524900001,1889468.6669600001,"(41.852344, -87.676507)"
BARTELME (MARY),542,PLAYGROUND,OUTDOOR,1170366.2785100001,1899552.90729,"(41.879863, -87.649897)"
BARTELME (MARY),542,DOG FRIENDLY AREA,OUTDOOR,1170340.2723300001,1899409.60705,"(41.87947, -87.649996)"
BAULER (MATHIAS),365,PLAYGROUND,OUTDOOR,1172531.0589600001,1912827.6720799999,"(41.916242, -87.641555)"
BEEHIVE,328,PLAYGROUND PARK,OUTDOOR,1186524.7957299999,1864226.2289199999,"(41.782556, -87.591686)"
BEILFUSS (A.W.),1003,BASEBALL JR/SOFTBALL,OUTDOOR,1150427.3561199999,1911343.11008,"(41.912628, -87.722802)"
BEILFUSS (A.W.),1003,PLAYGROUND,OUTDOOR,1150226.7453000001,1911267.5311700001,"(41.912425, -87.723541)"
BEVERLY,254,BASEBALL SR,OUTDOOR,1161307.7119799999,1836653.44713,"(41.707451, -87.684901)"
"BELL (GEORGE,JR.)",121,BASKETBALL COURT,OUTDOOR,1130452.7658200001,1919409.45386,"(41.93513, -87.795999)"
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR,1130307.1086299999,1919756.48499,"(41.936085, -87.796526)"
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR,1130460.72545,1919625.95047,"(41.935724, -87.795965)"
"BELL (GEORGE,JR.)",121,PLAYGROUND,OUTDOOR,1130340.5380200001,1919400.69863,"(41.935108, -87.796412)"
"BELL (GEORGE,JR.)",121,SPRAY FEATURE,OUTDOOR,1130421.7242099999,1919270.96004,"(41.934751, -87.796116)"
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR,1130472.6643999999,1919313.94093,"(41.934868, -87.795928)"
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR,1130323.0272299999,1919306.7775600001,"(41.934851, -87.796478)"
"BELL (GEORGE,JR.)",121,VOLLEYBALL,OUTDOOR,1130471.0725400001,1919520.0901200001,"(41.935433, -87.795929)"
BERGER (ALBERT),1255,CULTURAL CENTER,SPECIAL,1168609.09042,1941446.26018,"(41.994858, -87.655132)"
BERGER (ALBERT),1255,GALLERY,SPECIAL,1168599.0953599999,1941446.26018,"(41.994858, -87.655169)"
BERGER (ALBERT),1255,PLAYGROUND,OUTDOOR,1168656.1264200001,1941687.90766,"(41.99552, -87.654952)"
BESSEMER (HENRY),12,ARTIFICIAL TURF FIELD,OUTDOOR,1196446.9750399999,1845686.7204,"(41.731441, -87.555923)"
BESSEMER (HENRY),12,BASKETBALL COURT,OUTDOOR,1196083.7789100001,1846379.11928,"(41.73335, -87.557231)"
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1196090.0348,1846031.04583,"(41.732395, -87.557219)"
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1195928.4698399999,1846364.7131399999,"(41.733315, -87.5578)"
BESSEMER (HENRY),12,GARDEN,OUTDOOR,1195582.34094,1846363.5228500001,"(41.73332, -87.559068)"
BESSEMER (HENRY),12,GYMNASIUM,INDOOR,1196227.7130100001,1846281.2710500001,"(41.733078, -87.556707)"
BESSEMER (HENRY),12,HANDBALL/RACQUET (OUT),OUTDOOR,1195778.2870700001,1846380.8348300001,"(41.733363, -87.55835)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1196235.63983,1845723.5054299999,"(41.731547, -87.556696)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1196221.7507499999,1845963.0889399999,"(41.732205, -87.556739)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1195990.8479899999,1846140.1722500001,"(41.732697, -87.557579)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1195785.9868600001,1846122.81106,"(41.732654, -87.55833)"
BESSEMER (HENRY),12,POOL (OUTDOOR),OUTDOOR,1196404.0358200001,1846305.7644400001,"(41.733141, -87.55606)"
BESSEMER (HENRY),12,PLAYGROUND,OUTDOOR,1196378.9876399999,1846019.5012300001,"(41.732356, -87.556161)"
BESSEMER (HENRY),12,SPRAY FEATURE,OUTDOOR,1196434.45111,1845890.6829200001,"(41.732001, -87.555962)"
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR,1196031.8935199999,1845806.5931899999,"(41.73178, -87.55744)"
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR,1195919.17753,1845928.25502,"(41.732117, -87.557848)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196378.9876399999,1845570.4260100001,"(41.731124, -87.556176)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196472.02321,1845572.21505,"(41.731126, -87.555835)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196425.50526,1845572.21505,"(41.731128, -87.556005)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196330.68065,1845570.4260100001,"(41.731125, -87.556353)"
BESSEMER (HENRY),12,TRACK,OUTDOOR,1195940.6473099999,1846423.8478600001,"(41.733477, -87.557753)"
BEVERLY,254,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1161415.01721,1836882.1021799999,"(41.708077, -87.684501)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161561.6291199999,1836688.0720599999,"(41.707541, -87.68397)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161545.1409700001,1837037.62057,"(41.708501, -87.684021)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161477.53972,1837194.25773,"(41.708932, -87.684264)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161271.4380999999,1837037.62057,"(41.708506, -87.685023)"
BEVERLY,254,PLAYGROUND,OUTDOOR,1161266.49159,1837436.63323,"(41.709601, -87.68503)"
BEVERLY,254,VOLLEYBALL (SAND),OUTDOOR,1161480.54956,1837355.6501199999,"(41.709375, -87.684248)"
BEVERLY,254,SPRAY FEATURE,OUTDOOR,1161238.4617900001,1837497.63934,"(41.709769, -87.685131)"
BEVERLY,254,TENNIS COURT,OUTDOOR,1161606.14708,1836378.0953200001,"(41.70669, -87.683815)"
BEVERLY,254,TENNIS COURT,OUTDOOR,1161652.3139800001,1836379.74394,"(41.706693, -87.683646)"
BEVERLY,254,TENNIS COURT,OUTDOOR,1161650.66503,1836500.10721,"(41.707023, -87.683649)"
BEVERLY,254,TENNIS COURT,OUTDOOR,1161601.20089,1836498.4585899999,"(41.70702, -87.68383)"
BEVERLY,254,VOLLEYBALL,OUTDOOR,1161601.4220199999,1837414.9872699999,"(41.709535, -87.683804)"
BIRCH,322,PLAYGROUND PARK,OUTDOOR,1180006.5495800001,1875204.8083500001,"(41.812834, -87.615247)"
BIXLER (RAY),1083,PLAYGROUND PARK,OUTDOOR,1186159.5868200001,1867632.8779500001,"(41.791912, -87.592917)"
BIXLER (RAY),1083,SPRAY FEATURE,OUTDOOR,1186202.58608,1867655.72141,"(41.791974, -87.592759)"
BLACKHAWK,122,BASKETBALL COURT,OUTDOOR,1142389.1258,1915240.18169,"(41.923476, -87.752236)"
BLACKHAWK,122,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1142161.5652300001,1915079.7459799999,"(41.92304, -87.753076)"
